"entity","code","year","nitrogen_kg_ha","region_label"
"Northern America (FAO)","",2009,53,"Northern America"
"Northern America (FAO)","",2010,56.21,"Northern America"
"Northern America (FAO)","",2011,61.19,"Northern America"
"Northern America (FAO)","",2012,62.98,"Northern America"
"Northern America (FAO)","",2013,60.46,"Northern America"
"Northern America (FAO)","",2014,59.54,"Northern America"
"Northern America (FAO)","",2015,59.59,"Northern America"
"Northern America (FAO)","",2016,58.06,"Northern America"
"Northern America (FAO)","",2017,57.7,"Northern America"
"Northern America (FAO)","",2018,60.58,"Northern America"
"Northern America (FAO)","",2019,59.49,"Northern America"
"Northern America (FAO)","",2020,62.85,"Northern America"
"Northern America (FAO)","",2021,61.37,"Northern America"
"Northern America (FAO)","",2022,60.08,"Northern America"
"Northern America (FAO)","",2023,61.88,"Northern America"
"South America (FAO)","",1961,2.37,"South America"
"South America (FAO)","",1962,2.82,"South America"
"South America (FAO)","",1963,3.13,"South America"
"South America (FAO)","",1964,3.19,"South America"
"South America (FAO)","",1965,3.36,"South America"
"South America (FAO)","",1966,3.03,"South America"
"South America (FAO)","",1967,4.14,"South America"
"South America (FAO)","",1968,4.63,"South America"
"South America (FAO)","",1969,4.78,"South America"
"South America (FAO)","",1970,6.21,"South America"
"South America (FAO)","",1971,6.51,"South America"
"South America (FAO)","",1972,8.7,"South America"
"South America (FAO)","",1973,8,"South America"
"South America (FAO)","",1974,8.62,"South America"
"South America (FAO)","",1975,7.81,"South America"
"South America (FAO)","",1976,9.64,"South America"
"South America (FAO)","",1977,11.33,"South America"
"South America (FAO)","",1978,10.94,"South America"
"South America (FAO)","",1979,11.5,"South America"
"South America (FAO)","",1980,12.23,"South America"
"South America (FAO)","",1981,9.76,"South America"
"South America (FAO)","",1982,9.28,"South America"
"South America (FAO)","",1983,8.82,"South America"
"South America (FAO)","",1984,11.84,"South America"
"South America (FAO)","",1985,12.44,"South America"
"South America (FAO)","",1986,15.15,"South America"
"South America (FAO)","",1987,16.04,"South America"
"South America (FAO)","",1988,15.64,"South America"
"South America (FAO)","",1989,15.02,"South America"
"South America (FAO)","",1990,14.91,"South America"
"South America (FAO)","",1991,15,"South America"
"South America (FAO)","",1992,15.27,"South America"
"South America (FAO)","",1993,18,"South America"
"South America (FAO)","",1994,20.34,"South America"
"South America (FAO)","",1995,20.87,"South America"
"South America (FAO)","",1996,23.99,"South America"
"South America (FAO)","",1997,25.59,"South America"
"South America (FAO)","",1998,25.73,"South America"
"South America (FAO)","",1999,26.44,"South America"
"South America (FAO)","",2000,27.61,"South America"
"South America (FAO)","",2001,28.58,"South America"
"South America (FAO)","",2002,31.03,"South America"
"South America (FAO)","",2003,34.87,"South America"
"South America (FAO)","",2004,37.9,"South America"
"South America (FAO)","",2005,31.52,"South America"
"South America (FAO)","",2006,33.35,"South America"
"South America (FAO)","",2007,40.68,"South America"
"South America (FAO)","",2008,37.77,"South America"
"South America (FAO)","",2009,32.84,"South America"
"South America (FAO)","",2010,39.97,"South America"
"South America (FAO)","",2011,45.8,"South America"
"South America (FAO)","",2012,42.08,"South America"
"South America (FAO)","",2013,46.19,"South America"
"South America (FAO)","",2014,49.75,"South America"
"South America (FAO)","",2015,40.35,"South America"
"South America (FAO)","",2016,43.84,"South America"
"South America (FAO)","",2017,51.33,"South America"
"South America (FAO)","",2018,51.28,"South America"
"South America (FAO)","",2019,54.09,"South America"
"South America (FAO)","",2020,61.6,"South America"
"South America (FAO)","",2021,68.4,"South America"
"South America (FAO)","",2022,67.1,"South America"
"South America (FAO)","",2023,61.73,"South America"
"Southern Asia (FAO)","",1961,1.57,"Southern Asia"
"Southern Asia (FAO)","",1962,1.98,"Southern Asia"
"Southern Asia (FAO)","",1963,2.32,"Southern Asia"
"Southern Asia (FAO)","",1964,3.18,"Southern Asia"
"Southern Asia (FAO)","",1965,3.24,"Southern Asia"
"Southern Asia (FAO)","",1966,4.24,"Southern Asia"
"Southern Asia (FAO)","",1967,5.94,"Southern Asia"
"Southern Asia (FAO)","",1968,6.9,"Southern Asia"
"Southern Asia (FAO)","",1969,7.94,"Southern Asia"
"Southern Asia (FAO)","",1970,8.44,"Southern Asia"
"Southern Asia (FAO)","",1971,10.35,"Southern Asia"
"Southern Asia (FAO)","",1972,10.92,"Southern Asia"
"Southern Asia (FAO)","",1973,10.89,"Southern Asia"
"Southern Asia (FAO)","",1974,10.55,"Southern Asia"
"Southern Asia (FAO)","",1975,15.27,"Southern Asia"
"Southern Asia (FAO)","",1976,14.54,"Southern Asia"
"Southern Asia (FAO)","",1977,17.18,"Southern Asia"
"Southern Asia (FAO)","",1978,19.62,"Southern Asia"
"Southern Asia (FAO)","",1979,20.84,"Southern Asia"
"Southern Asia (FAO)","",1980,22.18,"Southern Asia"
"Southern Asia (FAO)","",1981,24.07,"Southern Asia"
"Southern Asia (FAO)","",1982,24.85,"Southern Asia"
"Southern Asia (FAO)","",1983,28.03,"Southern Asia"
"Southern Asia (FAO)","",1984,30.61,"Southern Asia"
"Southern Asia (FAO)","",1985,33.03,"Southern Asia"
"Southern Asia (FAO)","",1986,37.79,"Southern Asia"
"Southern Asia (FAO)","",1987,34.12,"Southern Asia"
"Southern Asia (FAO)","",1988,40.75,"Southern Asia"
"Southern Asia (FAO)","",1989,42.46,"Southern Asia"
"Southern Asia (FAO)","",1990,43.48,"Southern Asia"
"Southern Asia (FAO)","",1991,46,"Southern Asia"
"Southern Asia (FAO)","",1992,49.2,"Southern Asia"
"Southern Asia (FAO)","",1993,49.56,"Southern Asia"
"Southern Asia (FAO)","",1994,53.36,"Southern Asia"
"Southern Asia (FAO)","",1995,56.42,"Southern Asia"
"Southern Asia (FAO)","",1996,59.06,"Southern Asia"
"Southern Asia (FAO)","",1997,61.92,"Southern Asia"
"Southern Asia (FAO)","",1998,64.02,"Southern Asia"
"Southern Asia (FAO)","",1999,66.03,"Southern Asia"
"Southern Asia (FAO)","",2000,63.77,"Southern Asia"
"Southern Asia (FAO)","",2001,65.55,"Southern Asia"
"Southern Asia (FAO)","",2002,62.86,"Southern Asia"
"Southern Asia (FAO)","",2003,65.12,"Southern Asia"
"Southern Asia (FAO)","",2004,68.66,"Southern Asia"
"Southern Asia (FAO)","",2005,74.29,"Southern Asia"
